% Model,ConnectedBowtie_ET016aDose8ArrayC_wire_vacuum.mph
% Version,COMSOL 5.5.0.359
% Date,"Apr 21 2020, 18:12"
% Table,"normalE - Surface Average 2 (abs(nx*Ex+ny*Ey+nz*Ez), arg(nx*Ex+ny*Ey+nz*Ez))"
% lam0 (m),freq (Hz),abs(nx*Ex+ny*Ey+nz*Ez) (V/m),arg(nx*Ex+ny*Ey+nz*Ez) (rad)
8.000000000000001E-7,3.747405725E14,0.7761491017535913,0.07806288888485022
8.200000000000001E-7,3.656005585365854E14,0.7762291972483748,0.2293712885800272
8.400000000000001E-7,3.5689578333333325E14,0.7763056617236171,0.3734953501527115
8.6E-7,3.485958813953488E14,0.7763770089207266,0.5109333183821568
8.8E-7,3.406732477272727E14,0.776441634266172,0.6421391909794774
9.000000000000001E-7,3.3310273111111106E14,0.7764985220242105,0.7675265105509937
9.200000000000001E-7,3.258613673913043E14,0.7765471333439649,0.88747282479786
9.400000000000001E-7,3.189281468085106E14,0.7765873016510253,1.0023235848339673
9.600000000000001E-7,3.122838104166666E14,0.7766191433145101,1.1123955386841837
9.800000000000001E-7,3.059106714285714E14,0.7766429826920502,1.2179796933128386
1.0000000000000002E-6,2.9979245799999994E14,0.77665929062778,1.3193439085872265
1.02E-6,2.9391417450980394E14,0.7766686346913559,1.4167351765180116
1.0400000000000002E-6,2.882619788461538E14,0.7766716396922818,1.5103816305050815
1.06E-6,2.828230735849057E14,0.7766689569986306,1.6004943221370045
1.08E-6,2.7758560925925922E14,0.7766612411164804,1.6872687971540064
1.1E-6,2.725385981818182E14,0.7766491323662237,1.7708864972682528
1.12E-6,2.676718375E14,0.7766332444913799,1.851516010466268
1.14E-6,2.6297584035087716E14,0.7766141560438349,1.9293141890365981
1.1600000000000001E-6,2.58441774137931E14,0.7765924051185132,2.0044271517503383
1.1800000000000001E-6,2.5406140508474572E14,0.776568486326536,2.0769911842686506
1.2E-6,2.4982704833333334E14,0.7765428496491801,2.1471335498720174
1.2200000000000002E-6,2.4573152295081962E14,0.7765159007708975,2.2149732209534543
1.24E-6,2.417681112903226E14,0.7764880021738398,2.280621540302881
1.26E-6,2.3793052222222222E14,0.7764594752239037,2.344182820032473
1.28E-6,2.342128578125E14,0.7764306025197718,2.405754884972617
1.3E-6,2.306095830769231E14,0.776401630542687,2.465429566511617
1.32E-6,2.2711549848484847E14,0.7763727725526752,2.5232931521117123
1.34E-6,2.2372571492537312E14,0.7763442114491855,2.5794267950968734
1.3600000000000001E-6,2.2043563088235294E14,0.7763161025150972,2.6339068887701638
1.3800000000000001E-6,2.1724091159420288E14,0.7762885761959669,2.6868054084331505
1.4000000000000001E-6,2.1413746999999997E14,0.7762617406944727,2.7381902244816403
1.42E-6,2.1112144929577466E14,0.7762356843593983,2.7881253893891973
1.4400000000000002E-6,2.0818920694444444E14,0.7762104779248102,2.8366714010798226
1.46E-6,2.053373E14,0.7761861767222784,2.883885444920664
1.4800000000000002E-6,2.025624716216216E14,0.7761628224455325,2.9298216163257274
1.5E-6,1.9986163866666666E14,0.7761404448946947,2.974531125751301
1.52E-6,1.972318802631579E14,0.7761190636296281,3.018062487680434
1.54E-6,1.9467042727272728E14,0.7760986892588274,3.060461695029973
1.56E-6,1.9217465256410256E14,0.7760793248237634,3.101772380266207
1.5800000000000001E-6,1.8974206202531644E14,0.7760609668468864,-0.035312267689362985
1.6E-6,1.8737028625E14,0.7760436063235887,-3.1018935123280493
